epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,2091.66,0.44878,0.82438,0.46497,0.92411,0.70994,0.64355,0.65354,0.57787,0.70214,0.63879,0.64359,0.54232,0.93336,2.95253,1.67835,1.22623,0.000280723,0.000280723,0.000280723
65,2124.74,0.44142,0.78866,0.46261,0.91616,0.67621,0.6794,0.65914,0.57978,0.66724,0.67443,0.64806,0.54838,0.92078,2.94681,1.71739,1.2185,0.000258718,0.000258718,0.000258718
66,2184.15,0.46147,0.83724,0.46281,0.97453,0.79532,0.58079,0.66489,0.57792,0.77846,0.57349,0.65389,0.54517,0.92882,3.32832,1.57901,1.22003,0.000236714,0.000236714,0.000236714
67,2212.71,0.40717,0.73733,0.39513,0.92058,0.75932,0.61071,0.65523,0.57767,0.76155,0.61494,0.65248,0.55461,0.93165,3.26656,1.87912,1.19131,0.00021471,0.00021471,0.00021471
68,2243.47,0.4083,0.70206,0.36776,0.92991,0.76142,0.66388,0.67836,0.59905,0.76142,0.66388,0.67568,0.56909,0.90801,3.2576,1.61152,1.19727,0.000192705,0.000192705,0.000192705
69,2275.92,0.45086,0.72012,0.50255,0.94836,0.73876,0.6391,0.65952,0.58332,0.73464,0.63668,0.65465,0.55639,0.86396,3.11285,1.76329,1.16132,0.000170701,0.000170701,0.000170701
70,2308.17,0.38081,0.66781,0.36034,0.90137,0.70791,0.63045,0.65484,0.58231,0.76304,0.60149,0.64858,0.5513,0.8677,3.20467,1.70143,1.15954,0.000148696,0.000148696,0.000148696
71,2338.81,0.36356,0.67527,0.34353,0.88558,0.72754,0.65578,0.66451,0.59126,0.73395,0.65355,0.66213,0.56463,0.88335,3.22499,1.73676,1.17421,0.000126692,0.000126692,0.000126692
72,2369.51,0.36578,0.65417,0.35202,0.89799,0.66824,0.66805,0.6617,0.5869,0.67222,0.66808,0.65931,0.56235,0.91756,3.30891,1.79226,1.18752,0.000104688,0.000104688,0.000104688
73,2401.04,0.36696,0.65121,0.34024,0.88633,0.67721,0.65277,0.66164,0.58924,0.67505,0.65117,0.66168,0.56249,0.91818,3.32409,1.86667,1.1853,8.26832e-05,8.26832e-05,8.26832e-05
74,2432.6,0.36069,0.65674,0.32272,0.88908,0.68077,0.66678,0.66231,0.58983,0.67078,0.66221,0.65672,0.55829,0.92668,3.27055,1.87961,1.19971,6.06788e-05,6.06788e-05,6.06788e-05
75,2462.75,0.35244,0.63727,0.32057,0.89051,0.68772,0.64876,0.66411,0.59401,0.68394,0.64634,0.66024,0.56681,0.88206,3.24947,1.89235,1.1652,3.86744e-05,3.86744e-05,3.86744e-05
